cid,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
001,2014-05-01 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 02:00:00,,18,755.9,71,2,23
001,2014-05-01 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 05:00:00,,16.8,755.8,78,1,13
001,2014-05-01 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 08:00:00,,19,756.9,72,2,23
001,2014-05-01 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 11:00:00,,24.5,756.1,57,4,23
001,2014-05-01 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 14:00:00,,26.7,753.9,44,5,3
001,2014-05-01 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 17:00:00,,26.6,753.8,48,3,2
001,2014-05-01 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 20:00:00,,19.1,756.7,32,6,4
001,2014-05-01 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-01 23:00:00,,15.1,759.2,42,5,4
001,2014-05-02 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-02 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-02 02:00:00,,13.7,759.4,38,4,24
001,2014-05-02 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-02 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-02 05:00:00,,13.5,760.3,35,4,24
001,2014-05-02 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
001,2014-05-02 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
