cid,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
004,2014-05-01 00:00:00,3,20,1005,92,9,14
004,2014-05-01 01:00:00,3,20,1005,91,7.92,14
004,2014-05-01 02:00:00,3,20,1005,90,9.36,14
004,2014-05-01 03:00:00,3,20,1004,90,6.12,4
004,2014-05-01 04:00:00,3,20,1004,90,7.92,9
004,2014-05-01 05:00:00,3,20,1004,91,5.76,9
004,2014-05-01 06:00:00,3,20,1004,91,3.96,9
004,2014-05-01 07:00:00,3,20,1005,88,6.48,9
004,2014-05-01 08:00:00,3,21,1005,86,5.04,9
004,2014-05-01 09:00:00,3,22,1006,84,5.04,9
004,2014-05-01 10:00:00,3,22,1006,84,7.2,9
004,2014-05-01 11:00:00,3,22,1006,80,10.08,9
004,2014-05-01 12:00:00,3,22,1006,78,9.72,9
004,2014-05-01 13:00:00,3,23,1006,77,5.76,14
004,2014-05-01 14:00:00,3,24,1005,73,12.6,14
004,2014-05-01 15:00:00,3,24,1004,74,10.08,14
004,2014-05-01 16:00:00,3,24,1004,75,7.56,14
004,2014-05-01 17:00:00,3,24,1004,76,10.08,1
004,2014-05-01 18:00:00,1,23,1004,78,6.12,14
004,2014-05-01 19:00:00,1,23,1005,80,7.92,14
004,2014-05-01 20:00:00,1,23,1005,80,7.2,14
004,2014-05-01 21:00:00,1,23,1006,81,7.56,14
004,2014-05-01 22:00:00,1,23,1007,82,6.84,24
004,2014-05-01 23:00:00,1,23,1008,80,10.44,14
004,2014-05-02 00:00:00,1,23,1007,81,7.92,14
004,2014-05-02 01:00:00,1,22,1007,83,5.4,13
004,2014-05-02 02:00:00,1,22,1007,83,6.12,13
004,2014-05-02 03:00:00,1,22,1007,84,3.24,13
004,2014-05-02 04:00:00,1,22,1006,84,8.64,14
004,2014-05-02 05:00:00,1,22,1006,86,2.16,1
004,2014-05-02 06:00:00,1,21,1007,87,3.96,14
004,2014-05-02 07:00:00,1,22,1008,84,8.64,14
004,2014-05-02 08:00:00,1,22,1008,82,6.84,14
004,2014-05-02 09:00:00,1,23,1009,80,7.56,14
004,2014-05-02 10:00:00,1,23,1009,79,11.16,14
004,2014-05-02 11:00:00,1,25,1009,70,8.64,14
004,2014-05-02 12:00:00,1,26,1008,66,6.84,14
004,2014-05-02 13:00:00,1,27,1008,61,6.48,1
004,2014-05-02 14:00:00,1,27,1007,60,11.52,2
004,2014-05-02 15:00:00,1,28,1006,55,6.84,2
004,2014-05-02 16:00:00,1,28,1006,58,7.56,24
004,2014-05-02 17:00:00,1,27,1006,65,9.72,2
004,2014-05-02 18:00:00,1,26,1006,69,3.6,3
004,2014-05-02 19:00:00,1,25,1007,68,6.48,3
004,2014-05-02 20:00:00,1,24,1008,72,7.2,3
004,2014-05-02 21:00:00,1,24,1008,76,11.52,3
004,2014-05-02 22:00:00,1,23,1009,80,6.84,13
004,2014-05-02 23:00:00,1,23,1009,81,8.28,13
004,2014-05-03 00:00:00,1,23,1009,81,5.4,13
004,2014-05-03 01:00:00,1,23,1008,77,6.12,13
004,2014-05-03 02:00:00,1,23,1008,76,2.16,9
004,2014-05-03 03:00:00,1,23,1007,74,4.32,9
004,2014-05-03 04:00:00,1,23,1007,76,6.48,14
004,2014-05-03 05:00:00,1,23,1007,74,4.32,14
004,2014-05-03 06:00:00,1,23,1007,75,3.6,1
004,2014-05-03 07:00:00,1,23,1008,77,2.52,14
004,2014-05-03 08:00:00,1,24,1008,69,3.6,1
004,2014-05-03 09:00:00,1,25,1008,55,8.28,1
004,2014-05-03 10:00:00,1,26,1008,47,10.44,13
004,2014-05-03 11:00:00,1,28,1008,42,11.16,13
004,2014-05-03 12:00:00,1,28,1007,42,15.12,13
004,2014-05-03 13:00:00,1,29,1007,45,13.32,13
004,2014-05-03 14:00:00,1,29,1006,44,16.2,13
004,2014-05-03 15:00:00,1,28,1006,47,9.36,13
004,2014-05-03 16:00:00,1,27,1005,54,10.8,1
004,2014-05-03 17:00:00,1,26,1005,59,10.8,13
004,2014-05-03 18:00:00,3,25,1006,67,12.96,13
004,2014-05-03 19:00:00,3,24,1006,72,13.32,1
004,2014-05-03 20:00:00,3,24,1006,73,11.88,13
004,2014-05-03 21:00:00,3,24,1007,74,6.48,13
004,2014-05-03 22:00:00,3,23,1007,73,6.84,13
004,2014-05-03 23:00:00,3,23,1007,77,7.92,13
004,2014-05-04 00:00:00,3,23,1007,76,6.84,13
004,2014-05-04 01:00:00,3,22,1006,81,16.2,13
004,2014-05-04 02:00:00,3,22,1006,79,10.08,13
004,2014-05-04 03:00:00,3,23,1005,76,6.84,13
004,2014-05-04 04:00:00,3,22,1005,75,12.6,13
004,2014-05-04 05:00:00,3,22,1005,78,7.56,1
004,2014-05-04 06:00:00,3,22,1005,83,10.8,1
004,2014-05-04 07:00:00,3,22,1005,81,12.6,14
004,2014-05-04 08:00:00,3,22,1005,81,9.72,1
004,2014-05-04 09:00:00,3,23,1005,82,5.76,13
004,2014-05-04 10:00:00,5,22,1005,90,9.36,13
004,2014-05-04 11:00:00,5,22,1005,94,6.84,1
004,2014-05-04 12:00:00,5,22,1005,91,12.24,13
004,2014-05-04 13:00:00,3,23,1004,86,10.44,1
004,2014-05-04 14:00:00,3,24,1003,81,8.64,1
004,2014-05-04 15:00:00,5,24,1003,83,7.92,2
004,2014-05-04 16:00:00,5,22,1003,91,10.44,9
004,2014-05-04 17:00:00,3,22,1003,93,8.28,9
004,2014-05-04 18:00:00,3,22,1003,91,7.56,1
004,2014-05-04 19:00:00,3,23,1003,91,6.84,13
004,2014-05-04 20:00:00,3,23,1004,90,7.2,13
004,2014-05-04 21:00:00,3,23,1005,90,10.44,14
004,2014-05-04 22:00:00,3,23,1005,89,7.92,14
004,2014-05-04 23:00:00,3,23,1006,89,7.92,14
004,2014-05-05 00:00:00,3,23,1005,89,6.12,14
004,2014-05-05 01:00:00,8,23,1005,90,1.08,4
004,2014-05-05 02:00:00,8,23,1004,90,8.64,14
004,2014-05-05 03:00:00,5,20,1003,95,20.88,14
004,2014-05-05 04:00:00,3,19,1004,94,5.04,24
004,2014-05-05 05:00:00,3,19,1005,93,11.88,4
004,2014-05-05 06:00:00,3,19,1005,90,5.04,4
004,2014-05-05 07:00:00,3,20,1006,91,7.2,14
004,2014-05-05 08:00:00,3,20,1007,86,13.68,14
004,2014-05-05 09:00:00,3,21,1007,78,19.08,4
004,2014-05-05 10:00:00,3,23,1008,70,16.2,4
004,2014-05-05 11:00:00,3,23,1008,69,9,14
004,2014-05-05 12:00:00,1,23,1008,70,9.36,14
004,2014-05-05 13:00:00,1,22,1007,74,10.08,4
004,2014-05-05 14:00:00,1,21,1007,78,9.36,14
004,2014-05-05 15:00:00,1,21,1007,81,12.6,14
004,2014-05-05 16:00:00,5,20,1007,85,12.24,4
004,2014-05-05 17:00:00,5,19,1007,93,6.84,14
004,2014-05-05 18:00:00,5,19,1008,92,8.64,14
004,2014-05-05 19:00:00,5,19,1009,92,6.12,14
004,2014-05-05 20:00:00,3,19,1009,90,10.44,14
004,2014-05-05 21:00:00,3,18,1010,90,5.4,14
004,2014-05-05 22:00:00,3,18,1011,91,7.56,14
004,2014-05-05 23:00:00,3,18,1011,91,5.04,14
004,2014-05-06 00:00:00,3,18,1010,89,4.68,24
004,2014-05-06 01:00:00,3,18,1010,87,5.76,14
004,2014-05-06 02:00:00,3,19,1010,87,3.6,14
004,2014-05-06 03:00:00,3,18,1009,86,7.92,14
004,2014-05-06 04:00:00,3,18,1009,86,10.44,14
004,2014-05-06 05:00:00,3,18,1009,90,9.36,14
004,2014-05-06 06:00:00,3,18,1009,89,6.84,24
004,2014-05-06 07:00:00,2,18,1010,90,6.84,14
004,2014-05-06 08:00:00,2,18,1010,91,7.92,14
004,2014-05-06 09:00:00,2,18,1011,93,3.6,14
004,2014-05-06 10:00:00,2,18,1011,95,5.4,14
004,2014-05-06 11:00:00,2,18,1011,94,7.56,14
004,2014-05-06 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 17:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-06 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 12:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 13:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 14:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 15:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 16:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 17:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 18:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 19:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 20:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 21:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 22:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-07 23:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 01:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 02:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 03:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 04:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 05:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 06:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 07:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 08:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 09:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 10:00:00,NULL,NULL,NULL,NULL,NULL,NULL
004,2014-05-08 11:00:00,NULL,NULL,NULL,NULL,NULL,NULL
